ID;Customer_Subtype;Number_of_houses;Avg_size_household;Avg_age;Customer_main_type;Roman_catholic;Protestant;Other_religion;No_religion;Married;Living_together;Other_relation;Singles;Household_without_children;Household_with_children;High_level_education;Medium_level_education;Lower_level_education;High_status;Entrepreneur;Farmer;Middle_management;Skilled_labourers;Unskilled_labourers;Social_class_A;Social_class_B1;Social_class_B2;Social_class_C;Social_class_D;Rented_house;Home_owners;One_car;Two_cars;No_car;National_Health_Service;Private_health_insurance;Income_LT_30000;Income_30_45000;Income_45_75000;Income_75_122000;Income_GT123000;Average_income;Purchasing_power_class;Contribution_private_third_party_insurance;Contribution_third_party_insurance_firms;Contribution_third_party_insurane_agriculture;Contribution_car_policies;Contribution_delivery_van_policies;Contribution_motorcycle_scooter_policies;Contribution_lorry_policies;Contribution_trailer_policies;Contribution_tractor_policies;Contribution_agricultural_machines_policies;Contribution_moped_policies;Contribution_life_insurances;Contribution_private_accident_insurance_policies;Contribution_family_accidents_insurance_policies;Contribution_disability_insurance_policies;Contribution_fire_policies;Contribution_surfboard_policies;Contribution_boat_policies;Contribution_bicycle_policies;Contribution_property_insurance_policies;Contribution_social_security_insurance_policies;Number_of_private_third_party_insurance;Number_of_third_party_insurance_firms;Number_of_third_party_insurane_agriculture;Number_of_car_policies;Number_of_delivery_van_policies;Number_of_motorcycle_scooter_policies;Number_of_lorry_policies;Number_of_trailer_policies;Number_of_tractor_policies;Number_of_agricultural_machines_policies;Number_of_moped_policies;Number_of_life_insurances;Number_of_private_accident_insurance_policies;Number_of_family_accidents_insurance_policies;Number_of_disability_insurance_policies;Number_of_fire_policies;Number_of_surfboard_policies;Number_of_boat_policies;Number_of_bicycle_policies;Number_of_property_insurance_policies;Number_of_social_security_insurance_policies;Number_of_mobile_home_policies_num
62;Seniors in apartments;2;2;50-60 years;Cruising Seniors;0 PCT;5;2;3;7;0;2;2;5;3;0;1;8;0;0;0;2;4;3;0;0;1;7;2;9;0;8;0;1;7;2;5;4;0;0;0;2;1;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;Family starters;1;2;40-50 years;Average Family;1 - 10 PCT;3;1;5;4;2;4;4;2;3;1;3;6;1;0;1;3;3;3;1;1;3;3;3;7;2;6;0;3;8;1;5;4;1;0;0;2;6;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;Middle class families;1;2;40-50 years;Driven Growers;1 - 10 PCT;4;1;4;7;1;2;4;4;2;0;3;6;0;0;0;9;0;0;0;3;1;5;1;7;2;6;2;1;5;4;5;3;1;0;0;3;7;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;Lower class large families;1;3;40-50 years;Family with grown ups;1 - 10 PCT;5;1;3;7;1;2;2;3;5;2;4;4;3;1;2;2;2;1;3;2;3;3;1;3;6;6;2;1;5;4;3;2;3;2;1;4;3;f 0;0;0;7;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;High status seniors;1;2;50-60 years;Successful hedonists;0 PCT;5;0;4;5;0;4;3;4;3;2;5;3;4;2;0;2;0;3;5;0;2;2;0;4;5;7;0;2;7;2;0;4;5;0;0;5;6;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
67;Modern complete families;1;3;40-50 years;Average Family;1 - 10 PCT;3;2;4;7;1;2;2;3;5;1;7;1;4;0;0;5;1;1;2;3;4;1;0;6;3;7;1;2;4;5;3;4;3;1;0;3;4;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
68;Seniors in apartments;1;1;60-70 years;Cruising Seniors;0 PCT;5;0;4;3;1;5;7;2;0;1;4;5;4;0;0;4;1;2;1;1;5;1;3;9;0;7;0;2;9;0;2;7;1;0;0;3;1;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;Middle class families;1;2;40-50 years;Driven Growers;1 - 10 PCT;4;1;4;7;1;2;4;4;2;0;3;6;0;0;0;9;0;0;0;3;1;5;1;7;2;6;2;1;5;4;5;3;1;0;0;3;7;f 0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
70;Young and rising;1;2;30-40 years;Living well;11 - 23 PCT;2;4;2;2;5;2;2;5;2;0;4;5;0;0;0;4;0;5;0;2;3;5;0;9;0;5;2;2;9;0;0;6;3;0;0;4;3;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
71;Large family employed child;1;3;40-50 years;Family with grown ups;0 PCT;9;0;0;5;0;4;2;3;4;0;3;6;0;0;2;0;3;5;1;0;0;7;2;4;5;3;2;4;7;2;6;2;2;0;0;2;6;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
72;Large family farms;1;2;50-60 years;Farmers;0 PCT;8;0;1;9;0;0;0;8;1;1;4;5;4;1;4;1;2;1;2;1;6;2;0;1;8;7;2;0;5;4;4;5;0;1;1;3;3;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;Stable family;1;3;40-50 years;Average Family;0 PCT;7;2;0;9;0;0;0;3;6;6;3;0;6;2;0;2;0;0;7;2;0;0;0;0;9;7;2;0;2;7;0;0;7;2;0;5;8;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
74;Lower class large families;1;4;40-50 years;Family with grown ups;0 PCT;6;0;3;9;0;0;0;3;6;0;0;9;0;0;3;0;6;0;0;0;3;6;0;9;0;7;2;0;9;0;3;5;2;0;0;3;3;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
75;Traditional families;1;2;40-50 years;Conservative families;1 - 10 PCT;5;1;3;5;1;4;3;3;4;2;2;6;1;1;1;2;4;2;1;1;2;5;1;4;5;6;1;2;7;2;3;5;2;0;0;3;4;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;Lower class large families;1;2;60-70 years;Family with grown ups;11 - 23 PCT;5;0;2;7;0;2;2;5;2;2;0;7;2;2;0;2;4;0;2;0;3;5;0;7;2;7;0;2;7;2;2;3;3;2;0;4;3;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Middle class families;1;4;40-50 years;Driven Growers;11 - 23 PCT;5;1;2;6;1;3;0;2;7;4;4;2;3;1;0;5;2;1;2;2;3;2;1;1;8;8;0;1;6;3;1;3;4;3;1;5;7;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;Lower class large families;2;3;40-50 years;Family with grown ups;0 PCT;2;3;5;6;3;0;0;3;6;0;1;8;0;0;0;1;6;3;0;1;1;8;0;3;6;6;3;0;9;0;3;5;2;1;0;3;3;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
79;Large religous families;1;3;30-40 years;Conservative families;0 PCT;6;0;3;6;0;3;0;0;9;0;3;6;2;0;0;2;5;2;0;2;4;4;0;7;2;3;6;0;6;3;7;0;2;0;0;3;5;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;Mixed rurals;1;4;40-50 years;Farmers;0 PCT;5;2;2;5;0;4;3;0;6;0;0;9;0;0;4;0;3;3;0;0;4;4;2;4;5;9;0;0;9;0;2;6;2;0;0;3;4;f 0;0;4;6;6;0;0;0;3;4;0;4;0;0;0;6;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;2;0;0;0;1;0;0;0;0;0;0
81;Affluent young families;1;3;30-40 years;Average Family;37 - 49 PCT;1;0;5;6;3;0;0;4;5;5;3;2;5;0;0;3;1;2;4;3;1;2;0;0;9;6;3;0;2;7;0;3;4;3;1;7;7;f 0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
82;Stable family;1;3;40-50 years;Average Family;0 PCT;7;2;0;9;0;0;0;3;6;6;3;0;6;2;0;2;0;0;7;2;0;0;0;0;9;7;2;0;2;7;0;0;7;2;0;5;8;f 0;0;0;7;0;4;0;2;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
83;Large religous families;1;2;40-50 years;Conservative families;11 - 23 PCT;4;2;3;5;2;3;2;4;3;1;3;5;1;1;0;3;3;2;2;2;2;5;1;6;3;7;1;2;7;2;3;4;3;1;0;3;5;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;Very Important Provincials;1;2;60-70 years;Successful hedonists;0 PCT;9;0;0;9;0;0;0;7;2;6;3;0;6;2;0;2;0;0;7;2;0;0;0;0;9;9;0;0;0;9;2;3;3;2;1;5;6;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
85;Large religous families;1;3;40-50 years;Conservative families;11 - 23 PCT;7;1;0;7;0;2;0;2;7;4;2;4;4;0;0;0;2;4;4;0;2;2;3;1;8;7;2;0;5;4;2;3;2;3;0;5;5;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
86;Low income catholics;1;2;50-60 years;Retired and Religeous;0 PCT;4;0;5;9;0;0;0;7;2;0;0;9;0;0;0;0;5;4;0;0;0;7;2;9;0;5;0;4;9;0;4;4;2;0;0;3;1;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;Large family employed child;2;2;50-60 years;Family with grown ups;0 PCT;3;2;5;5;2;3;3;5;3;0;3;6;1;0;5;1;3;2;1;2;4;3;2;5;4;4;5;1;7;2;2;5;1;2;0;4;6;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;Young and rising;1;1;20-30 years;Living well;0 PCT;5;1;4;2;1;7;6;2;1;1;7;1;1;0;0;4;1;4;1;1;5;4;0;8;1;3;1;6;8;1;6;3;1;0;0;2;3;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;Stable family;1;4;30-40 years;Average Family;1 - 10 PCT;5;1;4;8;1;1;1;2;7;3;5;2;2;0;0;5;2;1;2;4;2;2;0;1;8;9;0;0;5;4;2;4;4;0;0;4;8;f 50 – 99;0;0;6;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;4;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;1
90;High status seniors;1;2;50-60 years;Successful hedonists;11 - 23 PCT;7;0;0;6;1;2;2;6;2;0;4;5;3;0;0;5;0;2;1;1;3;4;2;0;9;6;0;3;6;3;4;4;0;2;0;4;6;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;Large family employed child;1;4;30-40 years;Family with grown ups;1 - 10 PCT;4;1;4;7;1;2;0;0;9;0;3;6;3;0;0;3;5;0;0;0;5;4;0;0;9;6;2;1;5;4;0;6;0;3;0;5;6;f 0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
92;Family starters;1;3;40-50 years;Average Family;1 - 10 PCT;5;0;4;7;0;2;2;2;6;3;5;1;6;0;0;2;0;1;4;1;4;0;0;0;9;7;2;0;2;7;2;2;6;0;0;5;6;f 50 – 99;0;0;6;0;0;0;0;0;0;3;0;0;3;0;4;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1
93;Middle class families;1;2;40-50 years;Driven Growers;1 - 10 PCT;4;1;4;7;1;2;4;4;2;0;3;6;0;0;0;9;0;0;0;3;1;5;1;7;2;6;2;1;5;4;5;3;1;0;0;3;7;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;Career and childcare;2;3;40-50 years;Driven Growers;11 - 23 PCT;4;1;3;6;1;2;2;3;4;3;4;3;3;1;0;4;1;2;3;2;3;2;1;3;6;6;2;2;6;3;2;3;4;2;1;5;8;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
95;Low income catholics;1;4;40-50 years;Retired and Religeous;0 PCT;3;0;6;9;0;0;0;5;4;0;1;8;1;0;0;4;1;5;0;1;0;4;5;4;5;9;0;0;4;5;1;4;4;1;0;4;1;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
96;Lower class large families;1;3;40-50 years;Family with grown ups;1 - 10 PCT;4;2;3;7;1;1;1;4;4;1;2;7;2;1;1;1;4;2;2;1;2;5;1;2;7;4;4;2;7;2;3;3;3;0;1;4;3;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
97;Large religous families;1;3;30-40 years;Conservative families;0 PCT;5;0;4;7;0;2;0;1;8;0;3;6;0;0;0;3;3;4;0;1;2;5;2;9;0;7;2;0;9;0;2;6;1;0;0;3;5;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
98;Village families;1;3;40-50 years;Family with grown ups;1 - 10 PCT;4;1;5;7;1;2;1;4;4;2;3;4;3;0;2;2;3;1;3;1;3;3;2;3;6;7;2;1;5;4;3;2;3;2;0;4;5;f 0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
99;Large family employed child;1;3;30-40 years;Family with grown ups;24 - 36 PCT;5;0;2;6;0;3;2;0;7;0;4;5;3;0;0;0;3;3;3;0;2;5;0;2;7;2;5;3;6;3;2;3;4;0;0;4;6;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;Lower class large families;1;2;40-50 years;Family with grown ups;37 - 49 PCT;3;1;2;6;2;2;2;3;4;2;4;4;1;0;2;3;5;0;1;1;3;5;0;3;6;5;3;2;7;2;2;2;3;3;0;5;3;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
101;Lower class large families;1;4;30-40 years;Family with grown ups;0 PCT;5;1;3;7;0;2;0;0;9;1;3;5;3;0;0;2;3;3;3;0;2;4;1;2;7;6;3;0;6;3;4;4;2;0;0;3;3;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
102;Couples with teens 'Married with children';1;2;40-50 years;Family with grown ups;1 - 10 PCT;5;1;3;7;0;2;2;5;3;2;3;4;2;0;0;3;4;2;1;1;3;5;0;7;2;6;1;2;6;3;2;5;3;0;0;4;3;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;Affluent young families;1;4;30-40 years;Average Family;0 PCT;7;2;0;9;0;0;0;0;8;2;4;4;2;0;0;2;5;0;2;0;3;5;0;4;5;9;0;0;7;2;0;4;5;0;0;5;7;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
104;Lower class large families;2;2;40-50 years;Family with grown ups;0 PCT;7;1;2;5;1;4;4;1;5;0;2;7;0;0;1;2;6;1;0;2;1;7;1;8;1;5;1;4;8;1;5;3;2;0;0;3;3;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;Lower class large families;1;3;40-50 years;Family with grown ups;0 PCT;9;0;0;9;0;0;0;2;7;0;3;6;3;0;0;2;5;0;2;2;2;5;0;0;9;6;3;0;3;6;0;5;4;0;0;4;3;f 0;0;0;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
106;Large family farms;1;5;40-50 years;Farmers;1 - 10 PCT;1;5;3;9;0;0;0;1;8;0;6;3;1;0;6;3;0;0;3;1;6;0;0;0;9;6;3;0;9;0;1;6;3;0;0;3;3;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
107;Stable family;1;4;30-40 years;Average Family;11 - 23 PCT;6;0;3;6;1;3;1;0;8;2;6;2;2;1;0;5;0;3;2;3;3;2;1;4;5;5;2;2;5;4;2;3;4;1;1;5;8;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;Dinki's (double income no kids);1;3;40-50 years;Driven Growers;1 - 10 PCT;5;0;4;7;0;2;1;4;4;4;5;1;4;0;0;4;0;1;2;1;5;3;0;7;2;6;1;2;5;4;1;1;8;0;0;5;6;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;Mixed apartment dwellers;1;2;40-50 years;Living well;0 PCT;7;0;2;6;0;3;3;2;4;2;3;4;0;2;0;3;4;0;3;2;0;5;0;0;9;7;2;0;7;2;4;2;4;0;0;3;2;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
110;Middle class families;1;3;40-50 years;Driven Growers;1 - 10 PCT;5;1;3;7;1;2;2;3;4;1;3;5;2;0;2;2;2;3;2;2;2;3;2;1;8;6;2;2;5;4;3;3;3;1;1;4;8;f 0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;Young low educated ;1;3;30-40 years;Living well;1 - 10 PCT;4;2;4;7;1;1;1;3;6;1;2;7;0;0;0;2;5;3;0;1;1;6;3;8;1;5;1;4;7;2;2;5;2;1;0;3;2;f 50 – 99;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;Large religous families;1;2;40-50 years;Conservative families;0 PCT;7;2;0;9;0;0;2;5;2;2;5;2;1;0;0;3;3;3;1;2;3;4;1;6;3;7;0;2;7;2;1;3;3;2;0;6;5;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
113;Stable family;1;5;40-50 years;Average Family;0 PCT;5;0;4;9;0;0;0;0;8;5;4;0;7;0;0;2;0;0;7;0;2;0;0;0;9;9;0;0;4;5;0;0;9;0;0;5;8;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
114;Affluent young families;1;3;30-40 years;Average Family;1 - 10 PCT;3;2;5;9;0;0;0;3;6;1;7;2;1;1;0;8;1;1;1;2;2;5;0;5;4;6;1;3;5;4;2;6;2;0;0;3;7;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
115;Mixed rurals;1;3;40-50 years;Farmers;0 PCT;5;0;4;7;0;2;1;5;4;2;4;3;3;0;3;2;2;1;4;2;2;2;0;2;7;8;1;0;5;4;2;4;4;1;0;4;4;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;Young and rising;1;1;30-40 years;Living well;11 - 23 PCT;4;2;4;7;1;2;8;0;1;5;4;0;1;0;0;3;3;3;0;5;1;3;0;8;1;7;1;2;6;3;3;5;1;0;0;3;3;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
117;Large family employed child;1;3;30-40 years;Family with grown ups;0 PCT;7;0;2;7;2;0;0;4;5;0;2;7;0;2;0;2;4;2;0;0;4;5;0;2;7;5;4;0;9;0;0;5;4;0;0;4;6;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;High status seniors;1;3;40-50 years;Successful hedonists;11 - 23 PCT;7;0;0;7;1;2;1;3;5;0;4;5;2;1;0;3;2;3;1;3;2;4;1;0;9;6;2;2;5;4;0;5;3;1;0;4;6;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
119;Family starters;1;2;40-50 years;Average Family;1 - 10 PCT;4;1;5;5;1;4;3;4;2;0;4;5;1;1;2;4;3;1;1;3;3;3;1;2;7;5;1;4;7;2;5;3;2;0;0;3;6;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
120;Etnically diverse;1;2;30-40 years;Living well;1 - 10 PCT;5;1;4;4;3;2;2;6;1;1;5;4;1;0;0;5;1;4;1;2;4;4;0;9;0;7;2;1;8;1;4;3;2;2;0;4;2;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;Large family employed child;1;3;40-50 years;Family with grown ups;0 PCT;2;2;5;7;0;2;0;2;7;0;4;5;0;0;0;0;9;0;0;0;0;9;0;9;0;5;0;4;9;0;4;5;0;0;0;3;6;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;Low income catholics;1;2;40-50 years;Retired and Religeous;0 PCT;5;1;3;6;0;3;3;3;3;0;1;8;0;0;0;4;0;5;0;1;1;5;3;9;0;7;0;2;9;0;6;2;1;0;0;2;1;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
123;Mixed small town dwellers;1;3;40-50 years;Family with grown ups;0 PCT;4;1;4;6;1;3;1;5;4;1;5;3;1;0;1;4;2;3;1;3;4;2;1;2;7;4;0;5;7;2;2;3;3;1;1;5;4;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
124;Traditional families;1;3;40-50 years;Conservative families;0 PCT;3;3;4;6;1;2;1;2;7;0;3;6;0;0;0;2;2;6;0;1;1;7;1;9;0;7;0;2;7;2;6;3;1;0;0;2;4;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
125;Young all american family;1;2;30-40 years;Average Family;0 PCT;9;0;0;9;0;0;0;5;4;0;5;4;7;0;0;2;0;0;0;4;0;5;0;0;9;9;0;0;7;2;0;5;2;4;0;6;7;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
126;Mixed seniors;1;2;50-60 years;Retired and Religeous;1 - 10 PCT;3;3;3;5;1;4;4;2;4;1;3;6;2;1;1;3;2;3;1;2;1;4;2;2;7;5;1;4;6;3;3;4;2;1;0;3;1;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;Middle class families;1;3;40-50 years;Driven Growers;11 - 23 PCT;6;0;2;9;0;0;0;3;6;5;3;2;4;0;0;5;0;0;3;2;3;2;0;0;9;7;2;0;2;7;0;5;0;4;0;7;7;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
